Date,Open,High,Low,Close,Adj Close,Volume
4/1/2020,1122,1129.689941,1097.449951,1105.619995,1105.619995,2343100
4/2/2020,1098.26001,1126.859985,1096.400024,1120.839966,1120.839966,1964900
4/3/2020,1119.015015,1123.540039,1079.810059,1097.880005,1097.880005,2313400
4/6/2020,1138,1194.660034,1130.939941,1186.920044,1186.920044,2664700
4/7/2020,1221,1225,1182.22998,1186.51001,1186.51001,2387300
4/8/2020,1206.5,1219.069946,1188.160034,1210.280029,1210.280029,1975100
4/9/2020,1224.079956,1225.569946,1196.734985,1211.449951,1211.449951,2175400
4/13/2020,1209.180054,1220.51001,1187.598022,1217.560059,1217.560059,1739800
4/14/2020,1245.089966,1282.069946,1236.930054,1269.22998,1269.22998,2470400
4/15/2020,1245.609985,1280.459961,1240.400024,1262.469971,1262.469971,1671700
4/16/2020,1274.099976,1279,1242.619995,1263.469971,1263.469971,2518100
4/17/2020,1284.849976,1294.430054,1271.22998,1283.25,1283.25,1949000
4/20/2020,1271,1281.599976,1261.369995,1266.609985,1266.609985,1695500
4/21/2020,1247,1254.27002,1209.709961,1216.339966,1216.339966,2153000
4/22/2020,1245.540039,1285.613037,1242,1263.209961,1263.209961,2093100
4/23/2020,1271.550049,1293.310059,1265.670044,1276.310059,1276.310059,1566200
4/24/2020,1261.170044,1280.400024,1249.449951,1279.310059,1279.310059,1640400
4/27/2020,1296,1296.150024,1269,1275.880005,1275.880005,1600600
4/28/2020,1287.930054,1288.050049,1232.199951,1233.670044,1233.670044,2951300
4/29/2020,1341.459961,1359.98999,1325.339966,1341.47998,1341.47998,3793600
4/30/2020,1324.880005,1352.819946,1322.48999,1348.660034,1348.660034,2665400
5/1/2020,1328.5,1352.069946,1311,1320.609985,1320.609985,2072500
5/4/2020,1308.22998,1327.660034,1299,1326.800049,1326.800049,1504000
5/5/2020,1337.920044,1373.939941,1337.459961,1351.109985,1351.109985,1651500
5/6/2020,1361.689941,1371.119995,1347.290039,1347.300049,1347.300049,1215400
5/7/2020,1365.939941,1377.599976,1355.27002,1372.560059,1372.560059,1397600
5/8/2020,1383.130005,1398.76001,1375.47998,1388.369995,1388.369995,1388100
5/11/2020,1378.280029,1416.530029,1377.151978,1403.26001,1403.26001,1410600
5/12/2020,1407.119995,1415,1374.77002,1375.73999,1375.73999,1390600
5/13/2020,1377.050049,1385.482056,1328.400024,1349.329956,1349.329956,1812600
5/14/2020,1335.02002,1357.420044,1323.910034,1356.130005,1356.130005,1603100
5/15/2020,1350,1374.47998,1339,1373.189941,1373.189941,1707700
5/18/2020,1361.75,1392.324951,1354.25,1383.939941,1383.939941,1824000
5/19/2020,1386.996948,1392,1373.484985,1373.484985,1373.484985,1280600
5/20/2020,1389.579956,1410.420044,1387.25,1406.719971,1406.719971,1655400
5/21/2020,1408,1415.48999,1393.449951,1402.800049,1402.800049,1385000
5/22/2020,1396.709961,1412.76001,1391.829956,1410.420044,1410.420044,1309400
5/26/2020,1437.27002,1441,1412.130005,1417.02002,1417.02002,2060600
5/27/2020,1417.25,1421.73999,1391.290039,1417.839966,1417.839966,1685800
5/28/2020,1396.859985,1440.839966,1396,1416.72998,1416.72998,1692200
5/29/2020,1416.939941,1432.569946,1413.349976,1428.920044,1428.920044,1838100
6/1/2020,1418.390015,1437.959961,1418,1431.819946,1431.819946,1217100
6/2/2020,1430.550049,1439.609985,1418.829956,1439.219971,1439.219971,1278100
6/3/2020,1438.300049,1446.552002,1429.776978,1436.380005,1436.380005,1256200
6/4/2020,1430.400024,1438.959961,1404.72998,1412.180054,1412.180054,1484300
6/5/2020,1413.170044,1445.050049,1406,1438.390015,1438.390015,1734900
6/8/2020,1422.339966,1447.98999,1422.339966,1446.609985,1446.609985,1404200
6/9/2020,1445.359985,1468,1443.209961,1456.160034,1456.160034,1409200
6/10/2020,1459.540039,1474.259033,1456.27002,1465.849976,1465.849976,1525200
6/11/2020,1442.47998,1454.474976,1402,1403.839966,1403.839966,1991300
6/12/2020,1428.48999,1437,1386.02002,1413.180054,1413.180054,1944200
6/15/2020,1390.800049,1424.800049,1387.920044,1419.849976,1419.849976,1503900
6/16/2020,1445.219971,1455.02002,1425.900024,1442.719971,1442.719971,1709200
6/17/2020,1447.160034,1460,1431.380005,1451.119995,1451.119995,1548300
6/18/2020,1449.160034,1451.410034,1427.01001,1435.959961,1435.959961,1581900
6/19/2020,1444,1447.800049,1421.349976,1431.719971,1431.719971,3157900
6/22/2020,1429,1452.75,1423.209961,1451.859985,1451.859985,1542400
6/23/2020,1455.640015,1475.94104,1445.23999,1464.410034,1464.410034,1429800
6/24/2020,1461.51001,1475.420044,1429.75,1431.969971,1431.969971,1756000
6/25/2020,1429.900024,1442.900024,1420,1441.329956,1441.329956,1230500
6/26/2020,1431.390015,1433.449951,1351.98999,1359.900024,1359.900024,4267700
6/29/2020,1358.180054,1395.599976,1347.01001,1394.969971,1394.969971,1810200
6/30/2020,1390.439941,1418.650024,1383.959961,1413.609985,1413.609985,2042400
7/1/2020,1411.099976,1443,1409.819946,1438.040039,1438.040039,1775200
7/2/2020,1446.939941,1482.949951,1446.420044,1464.699951,1464.699951,1859100
7/6/2020,1480.060059,1506.589966,1472.859985,1495.699951,1495.699951,1564000
7/7/2020,1490,1516.800049,1483.550049,1485.180054,1485.180054,1458200
7/8/2020,1494.319946,1505.880005,1485.630005,1496,1496,1249700
7/9/2020,1506.449951,1522.719971,1488.084961,1510.98999,1510.98999,1423300
7/10/2020,1506.150024,1543.829956,1496.540039,1541.73999,1541.73999,1856300
7/13/2020,1550,1577.131958,1505.243042,1511.339966,1511.339966,1846400
7/14/2020,1490.310059,1522.949951,1483.5,1520.579956,1520.579956,1585000
